Concentration A,Concentration B,Concentration C
0.054,0.12,0.826
0.193,0.033,0.774
0.059,0.155,0.786
0.21,0.158,0.632
0.063,0.167,0.77
0.162,0.155,0.683
0.213,0.169,0.618
0.066,0.11,0.824
0.119,0.211,0.67
0.201,0.12,0.679
0.15,0.103,0.747
0.119,0.207,0.674
0.037,0.164,0.799
0.025,0.094,0.881
0.219,0.149,0.632
0.05,0.094,0.856
0.048,0.188,0.764
0.072,0.091,0.837
0.076,0.133,0.791
0.036,0.158,0.806
0.047,0.082,0.871
0.199,0.022,0.779
0.057,0.011,0.932
0.085,0.189,0.726
0.123,0.093,0.784
0.201,0.037,0.762
0.048,0.163,0.789
0.066,0.106,0.828
0.099,0.136,0.765
0.174,0.213,0.613
0.182,0.155,0.663
0.021,0.138,0.841
0.125,0.115,0.76
0.108,0.07,0.822
0.149,0.042,0.809
0.094,0.043,0.863
0.186,0.067,0.747
0.033,0.015,0.952
0.047,0.04,0.913
0.097,0.145,0.758
0.103,0.137,0.76
0.192,0.08,0.728
0.157,0.071,0.772
0.062,0.011,0.927
0.126,0.12,0.754
0.183,0.023,0.794
0.136,0.117,0.747
0.024,0.207,0.769
0.101,0.093,0.806
0.053,0.1,0.847
0.086,0.162,0.752
0.1,0.065,0.835
0.079,0.068,0.853
0.174,0.166,0.66
0.17,0.022,0.808
0.103,0.181,0.716
0.132,0.027,0.841
0.05,0.126,0.824
0.119,0.062,0.819
0.193,0.152,0.655
0.122,0.023,0.855
0.122,0.048,0.83
0.153,0.121,0.726
0.035,0.13,0.835
0.03,0.024,0.946
0.079,0.122,0.799
0.023,0.18,0.797
0.076,0.177,0.747
0.136,0.184,0.68
0.205,0.214,0.581
0.171,0.062,0.767
0.117,0.054,0.829
0.066,0.021,0.913
0.023,0.129,0.848
0.028,0.089,0.883
0.143,0.215,0.642
0.191,0.108,0.701
0.196,0.056,0.748
0.119,0.017,0.864
0.084,0.046,0.87
0.101,0.126,0.773
0.173,0.21,0.617
0.103,0.156,0.741
0.127,0.203,0.67
0.147,0.06,0.793
0.086,0.051,0.863
0.04,0.179,0.781
0.091,0.06,0.849
0.108,0.123,0.769
0.021,0.067,0.912
0.041,0.165,0.794
0.035,0.163,0.802
0.188,0.102,0.71
0.058,0.089,0.853
0.023,0.05,0.927
0.211,0.207,0.582
0.011,0.021,0.968
0.047,0.202,0.751
0.15,0.068,0.782
0.011,0.146,0.843
0.175,0.132,0.693
0.085,0.084,0.831
0.037,0.012,0.951
0.048,0.183,0.769
0.026,0.191,0.783
0.179,0.119,0.702
0.159,0.052,0.789
0.032,0.082,0.886
0.15,0.17,0.68
0.196,0.101,0.703
0.058,0.085,0.857
0.2,0.156,0.644
0.162,0.181,0.657
0.119,0.07,0.811
0.068,0.216,0.716
0.02,0.106,0.874
0.065,0.058,0.877
0.115,0.126,0.759
0.066,0.143,0.791
0.103,0.109,0.788
0.175,0.216,0.609
0.19,0.201,0.609
0.074,0.122,0.804
0.124,0.168,0.708
0.127,0.206,0.667
0.145,0.154,0.701
0.15,0.055,0.795
0.114,0.197,0.689
0.217,0.12,0.663
0.075,0.051,0.874
0.075,0.161,0.764
0.054,0.19,0.756
0.105,0.08,0.815
0.137,0.121,0.742
0.202,0.083,0.715
0.111,0.108,0.781
0.038,0.021,0.941
0.048,0.194,0.758
0.095,0.037,0.868
0.041,0.101,0.858
0.107,0.044,0.849
0.026,0.214,0.76
0.175,0.176,0.649
0.158,0.114,0.728
0.189,0.195,0.616
0.192,0.2,0.608
0.182,0.175,0.643
0.19,0.08,0.73
0.043,0.131,0.826
0.074,0.089,0.837
0.026,0.115,0.859
0.077,0.096,0.827
0.096,0.157,0.747
0.053,0.13,0.817
0.17,0.024,0.806
0.142,0.108,0.75
0.056,0.162,0.782
0.022,0.159,0.819
0.063,0.124,0.813
0.189,0.194,0.617
0.081,0.053,0.866
0.069,0.142,0.789
0.099,0.14,0.761
0.063,0.142,0.795
0.108,0.119,0.773
0.134,0.156,0.71
0.058,0.151,0.791
0.15,0.074,0.776
0.152,0.04,0.808
0.184,0.044,0.772
0.149,0.056,0.795
0.188,0.174,0.638
0.142,0.169,0.689
0.163,0.076,0.761
0.033,0.152,0.815
0.129,0.155,0.716
0.062,0.071,0.867
0.094,0.102,0.804
0.016,0.113,0.871
0.211,0.189,0.6
0.169,0.099,0.732
0.08,0.175,0.745
0.121,0.064,0.815
0.189,0.092,0.719
0.171,0.175,0.654
0.034,0.159,0.807
0.19,0.209,0.601
0.213,0.063,0.724
0.166,0.192,0.642
0.219,0.026,0.755
0.209,0.042,0.749
0.088,0.19,0.722
0.183,0.212,0.605
0.099,0.1,0.801
0.015,0.161,0.824
0.179,0.143,0.678
0.197,0.068,0.735
0.213,0.188,0.599
0.066,0.187,0.747
0.144,0.13,0.726
0.142,0.164,0.694
0.215,0.064,0.721
0.158,0.086,0.756
0.094,0.061,0.845
0.104,0.039,0.857
0.117,0.216,0.667
0.158,0.026,0.816
0.076,0.045,0.879
0.082,0.034,0.884
0.099,0.202,0.699
0.155,0.18,0.665
0.103,0.11,0.787
0.058,0.168,0.774
0.147,0.166,0.687
0.144,0.157,0.699
0.189,0.113,0.698
0.069,0.085,0.846
0.12,0.038,0.842
0.1,0.062,0.838
0.101,0.149,0.75
0.035,0.034,0.931
0.14,0.126,0.734
0.162,0.193,0.645
0.111,0.139,0.75
0.167,0.133,0.7
0.117,0.161,0.722
0.084,0.026,0.89
0.204,0.123,0.673
0.069,0.087,0.844
0.08,0.05,0.87
0.034,0.119,0.847
0.192,0.027,0.781
0.175,0.036,0.789
0.156,0.164,0.68
0.044,0.084,0.872
0.031,0.065,0.904
0.135,0.088,0.777
0.099,0.15,0.751
0.194,0.017,0.789
0.111,0.135,0.754
0.032,0.091,0.877
0.104,0.024,0.872
0.107,0.015,0.878
0.127,0.2,0.673
0.206,0.039,0.755
0.024,0.049,0.927
0.126,0.043,0.831
0.213,0.146,0.641
0.176,0.085,0.739
0.095,0.089,0.816
0.116,0.163,0.721
0.137,0.165,0.698
0.196,0.055,0.749
0.152,0.142,0.706
0.063,0.071,0.866
0.188,0.178,0.634
0.036,0.083,0.881
0.036,0.2,0.764
0.187,0.195,0.618
0.1,0.205,0.695
0.092,0.168,0.74
0.089,0.161,0.75
0.043,0.103,0.854
0.112,0.162,0.726
0.148,0.112,0.74
0.11,0.013,0.877
0.057,0.051,0.892
0.148,0.129,0.723
0.103,0.091,0.806
0.118,0.049,0.833
0.077,0.213,0.71
0.024,0.069,0.907
0.045,0.072,0.883
0.198,0.03,0.772
0.051,0.08,0.869
0.185,0.158,0.657
0.179,0.064,0.757
0.135,0.167,0.698
0.102,0.158,0.74
0.159,0.114,0.727
0.191,0.186,0.623
0.112,0.2,0.688
0.092,0.157,0.751
0.168,0.135,0.697
0.107,0.165,0.728
0.17,0.016,0.814
0.196,0.196,0.608
0.118,0.17,0.712
0.131,0.124,0.745
0.169,0.197,0.634
0.217,0.191,0.592
0.026,0.04,0.934
0.065,0.146,0.789
0.155,0.109,0.736
0.16,0.127,0.713
0.063,0.093,0.844
0.077,0.067,0.856
0.048,0.084,0.868
0.203,0.214,0.583
0.182,0.17,0.648
0.097,0.203,0.7
0.051,0.095,0.854
0.116,0.027,0.857
0.018,0.026,0.956
0.173,0.202,0.625
0.011,0.052,0.937
0.196,0.158,0.646
0.112,0.117,0.771
0.206,0.195,0.599
0.143,0.191,0.666
0.122,0.108,0.77
0.063,0.121,0.816
0.075,0.142,0.783
0.179,0.042,0.779
0.145,0.129,0.726
0.074,0.188,0.738
0.193,0.046,0.761
0.056,0.161,0.783
0.148,0.135,0.717
0.183,0.153,0.664
0.104,0.045,0.851
0.101,0.017,0.882
0.208,0.05,0.742
0.157,0.064,0.779
0.033,0.146,0.821
0.204,0.131,0.665
0.163,0.102,0.735
0.166,0.088,0.746
0.16,0.105,0.735
0.129,0.124,0.747
0.217,0.115,0.668
0.061,0.036,0.903
0.16,0.21,0.63
0.075,0.196,0.729
0.161,0.218,0.621
0.05,0.146,0.804
0.187,0.139,0.674
0.163,0.193,0.644
0.166,0.185,0.649
0.101,0.081,0.818
0.128,0.148,0.724
0.054,0.144,0.802
0.177,0.184,0.639
0.058,0.055,0.887
0.131,0.043,0.826
0.206,0.175,0.619
0.047,0.051,0.902
0.206,0.084,0.71
0.084,0.146,0.77
0.101,0.16,0.739
0.034,0.15,0.816
0.122,0.034,0.844
0.161,0.069,0.77
0.034,0.128,0.838
0.116,0.085,0.799
0.156,0.149,0.695
0.031,0.071,0.898
0.166,0.202,0.632
0.14,0.111,0.749
0.217,0.181,0.602
0.034,0.187,0.779
0.19,0.071,0.739
0.04,0.15,0.81
0.085,0.209,0.706
0.036,0.092,0.872
0.02,0.079,0.901
0.154,0.183,0.663
0.209,0.136,0.655
0.036,0.131,0.833
0.148,0.136,0.716
0.183,0.071,0.746
0.111,0.036,0.853
0.069,0.092,0.839
0.163,0.208,0.629
0.142,0.15,0.708
0.126,0.149,0.725
0.168,0.046,0.786
0.154,0.14,0.706
0.052,0.21,0.738
0.165,0.061,0.774
0.062,0.124,0.814
0.186,0.152,0.662
0.22,0.164,0.616
0.079,0.201,0.72
0.166,0.133,0.701
0.112,0.137,0.751
0.086,0.218,0.696
0.078,0.035,0.887
0.099,0.12,0.781
0.124,0.142,0.734
0.063,0.054,0.883
0.057,0.131,0.812
0.207,0.159,0.634
0.129,0.059,0.812
0.044,0.046,0.91
0.162,0.169,0.669
0.156,0.084,0.76
0.084,0.17,0.746
0.023,0.188,0.789
0.071,0.065,0.864
0.18,0.058,0.762
0.09,0.045,0.865
0.048,0.113,0.839
0.102,0.19,0.708
0.177,0.132,0.691
0.133,0.083,0.784
0.147,0.077,0.776
0.034,0.131,0.835
0.074,0.103,0.823
0.053,0.028,0.919
0.218,0.151,0.631
0.052,0.139,0.809
0.184,0.046,0.77
0.045,0.111,0.844
0.152,0.124,0.724
0.205,0.09,0.705
0.025,0.079,0.896
0.133,0.168,0.699
0.132,0.199,0.669
0.201,0.035,0.764
0.158,0.22,0.622
0.052,0.039,0.909
0.056,0.102,0.842
0.127,0.081,0.792
0.176,0.179,0.645
0.115,0.042,0.843
0.029,0.08,0.891
0.153,0.208,0.639
0.099,0.168,0.733
0.1,0.182,0.718
0.046,0.178,0.776
0.144,0.179,0.677
0.149,0.03,0.821
0.014,0.189,0.797
0.141,0.084,0.775
0.017,0.098,0.885
0.042,0.173,0.785
0.037,0.02,0.943
0.126,0.08,0.794
0.172,0.205,0.623
0.135,0.19,0.675
0.092,0.034,0.874
0.152,0.185,0.663
0.114,0.098,0.788
0.198,0.025,0.777
0.149,0.098,0.753
0.049,0.161,0.79
0.07,0.188,0.742
0.04,0.16,0.8
0.19,0.093,0.717
0.169,0.118,0.713
0.195,0.078,0.727
0.101,0.084,0.815
0.076,0.043,0.881
0.105,0.108,0.787
0.116,0.197,0.687
0.195,0.178,0.627
0.058,0.171,0.771
0.041,0.102,0.857
0.036,0.1,0.864
0.15,0.033,0.817
0.025,0.065,0.91
0.109,0.124,0.767
0.17,0.025,0.805
0.211,0.041,0.748
0.19,0.116,0.694
0.163,0.051,0.786
0.134,0.045,0.821
0.066,0.044,0.89
0.191,0.129,0.68
0.162,0.175,0.663
0.094,0.171,0.735
0.046,0.035,0.919
0.133,0.211,0.656
0.211,0.16,0.629
0.062,0.024,0.914
0.121,0.119,0.76
0.033,0.052,0.915
0.152,0.012,0.836
0.053,0.016,0.931
0.089,0.117,0.794
0.106,0.014,0.88
0.176,0.169,0.655
0.078,0.141,0.781
0.214,0.172,0.614
0.023,0.172,0.805
0.085,0.099,0.816
0.146,0.032,0.822
0.135,0.1,0.765
0.121,0.1,0.779
0.065,0.212,0.723
0.08,0.153,0.767
0.132,0.151,0.717
0.168,0.078,0.754
0.206,0.125,0.669
0.045,0.026,0.929
0.149,0.136,0.715
0.114,0.154,0.732
0.161,0.059,0.78
0.034,0.139,0.827
0.083,0.105,0.812
0.147,0.164,0.689
0.063,0.098,0.839
0.081,0.189,0.73
0.111,0.173,0.716
0.154,0.054,0.792
0.088,0.214,0.698
0.206,0.199,0.595
0.082,0.186,0.732
0.08,0.083,0.837
0.198,0.13,0.672
0.11,0.22,0.67
0.023,0.167,0.81
0.102,0.071,0.827
0.194,0.065,0.741
0.08,0.069,0.851
0.169,0.125,0.706
0.075,0.065,0.86
0.071,0.073,0.856
0.039,0.049,0.912
0.048,0.18,0.772
0.129,0.031,0.84
0.18,0.18,0.64
0.025,0.099,0.876
0.037,0.078,0.885
0.074,0.037,0.889
0.137,0.031,0.832
0.082,0.193,0.725
0.088,0.052,0.86
0.127,0.074,0.799
0.2,0.065,0.735
0.107,0.064,0.829
0.094,0.123,0.783
0.079,0.206,0.715
0.091,0.197,0.712
0.195,0.178,0.627
0.04,0.107,0.853
0.049,0.164,0.787
0.16,0.17,0.67
0.116,0.047,0.837
0.179,0.113,0.708
0.053,0.184,0.763
0.174,0.033,0.793
0.154,0.057,0.789
0.027,0.12,0.853
0.056,0.172,0.772
0.18,0.131,0.689
0.051,0.149,0.8
0.206,0.184,0.61
0.042,0.068,0.89
0.055,0.207,0.738
0.089,0.201,0.71
0.163,0.184,0.653
0.115,0.149,0.736
0.158,0.081,0.761
0.066,0.123,0.811
0.078,0.102,0.82
0.112,0.066,0.822
0.095,0.089,0.816
0.141,0.11,0.749
0.121,0.033,0.846
0.06,0.211,0.729
0.205,0.06,0.735
0.094,0.183,0.723
0.09,0.155,0.755
0.145,0.16,0.695
0.15,0.117,0.733
0.05,0.02,0.93
0.05,0.2,0.75
0.043,0.118,0.839
0.147,0.094,0.759
0.074,0.187,0.739
0.129,0.185,0.686
0.22,0.107,0.673
0.038,0.108,0.854
0.047,0.045,0.908
0.126,0.037,0.837
0.125,0.182,0.693
0.193,0.086,0.721
0.127,0.124,0.749
0.081,0.075,0.844
0.126,0.091,0.783
0.138,0.167,0.695
0.18,0.181,0.639
0.022,0.133,0.845
0.201,0.023,0.776
0.12,0.078,0.802
0.064,0.095,0.841
0.124,0.064,0.812
0.118,0.089,0.793
0.179,0.15,0.671
0.163,0.021,0.816
0.177,0.059,0.764
0.152,0.026,0.822
0.169,0.067,0.764
0.079,0.052,0.869
0.138,0.076,0.786
0.019,0.094,0.887
0.148,0.097,0.755
0.072,0.043,0.885
0.095,0.151,0.754
0.026,0.095,0.879
0.123,0.148,0.729
0.123,0.096,0.781
0.092,0.059,0.849
0.043,0.13,0.827
0.085,0.146,0.769
0.132,0.083,0.785
0.142,0.207,0.651
0.156,0.179,0.665
0.088,0.202,0.71
0.054,0.097,0.849
0.102,0.165,0.733
0.133,0.022,0.845
0.133,0.122,0.745
0.151,0.167,0.682
0.037,0.185,0.778
0.132,0.069,0.799
0.044,0.076,0.88
0.043,0.156,0.801
0.04,0.05,0.91
0.154,0.131,0.715
0.095,0.078,0.827
0.127,0.191,0.682
0.021,0.184,0.795
0.116,0.059,0.825
0.064,0.126,0.81
0.17,0.135,0.695
0.16,0.023,0.817
0.03,0.138,0.832
0.19,0.048,0.762
0.149,0.208,0.643
0.187,0.16,0.653
0.03,0.218,0.752
0.127,0.052,0.821
0.134,0.178,0.688
0.199,0.08,0.721
0.042,0.039,0.919
0.126,0.108,0.766
0.044,0.125,0.831
0.201,0.102,0.697
0.069,0.201,0.73
0.106,0.121,0.773
0.019,0.137,0.844
0.049,0.141,0.81
0.178,0.15,0.672
0.034,0.186,0.78
0.167,0.042,0.791
0.111,0.169,0.72
0.203,0.187,0.61
0.056,0.043,0.901
0.135,0.06,0.805
0.086,0.208,0.706
0.088,0.106,0.806
0.177,0.151,0.672
0.088,0.099,0.813
0.097,0.135,0.768
0.13,0.066,0.804
0.191,0.173,0.636
0.121,0.151,0.728
0.191,0.085,0.724
0.02,0.175,0.805
0.208,0.12,0.672
0.194,0.168,0.638
0.081,0.152,0.767
0.06,0.169,0.771
0.051,0.112,0.837
0.204,0.04,0.756
0.08,0.153,0.767
0.083,0.111,0.806
0.106,0.059,0.835
0.136,0.168,0.696
0.182,0.099,0.719
0.136,0.043,0.821
0.205,0.171,0.624
0.052,0.161,0.787
0.053,0.172,0.775
0.175,0.093,0.732
0.043,0.07,0.887
0.104,0.122,0.774
0.149,0.216,0.635
0.055,0.186,0.759
0.013,0.061,0.926
0.162,0.018,0.82
0.15,0.202,0.648
0.051,0.209,0.74
0.012,0.054,0.934
0.156,0.071,0.773
0.188,0.179,0.633
0.205,0.117,0.678
0.129,0.177,0.694
0.186,0.167,0.647
0.087,0.189,0.724
0.116,0.176,0.708
0.112,0.143,0.745
0.155,0.096,0.749
0.195,0.095,0.71
0.21,0.149,0.641
0.028,0.171,0.801
0.041,0.121,0.838
0.105,0.087,0.808
0.083,0.115,0.802
0.046,0.132,0.822
0.036,0.049,0.915
0.159,0.195,0.646
0.187,0.177,0.636
0.06,0.123,0.817
0.058,0.126,0.816
0.068,0.095,0.837
0.123,0.202,0.675
0.019,0.2,0.781
0.102,0.203,0.695
0.085,0.164,0.751
0.17,0.138,0.692
0.217,0.202,0.581
0.173,0.12,0.707
0.042,0.033,0.925
0.059,0.03,0.911
0.132,0.208,0.66
0.016,0.12,0.864
0.193,0.126,0.681
0.142,0.164,0.694
0.119,0.086,0.795
0.104,0.012,0.884
0.096,0.194,0.71
0.163,0.089,0.748
0.077,0.099,0.824
0.084,0.052,0.864
0.108,0.194,0.698
0.089,0.094,0.817
0.133,0.097,0.77
0.115,0.166,0.719
0.017,0.159,0.824
0.115,0.085,0.8
0.085,0.041,0.874
0.182,0.17,0.648
0.099,0.205,0.696
0.031,0.159,0.81
0.161,0.143,0.696
0.043,0.121,0.836
0.043,0.085,0.872
0.173,0.024,0.803
0.061,0.071,0.868
0.044,0.033,0.923
0.104,0.082,0.814
0.128,0.166,0.706
0.027,0.192,0.781
0.187,0.019,0.794
0.188,0.139,0.673
0.181,0.078,0.741
0.169,0.035,0.796
0.125,0.121,0.754
0.036,0.187,0.777
0.071,0.042,0.887
0.127,0.208,0.665
0.122,0.112,0.766
0.13,0.022,0.848
0.079,0.197,0.724
0.08,0.08,0.84
0.066,0.119,0.815
0.031,0.214,0.755
0.07,0.081,0.849
0.027,0.052,0.921
0.026,0.117,0.857
0.044,0.077,0.879
0.042,0.147,0.811
0.04,0.117,0.843
0.17,0.025,0.805
0.142,0.167,0.691
0.149,0.042,0.809
0.164,0.12,0.716
0.151,0.085,0.764
0.047,0.131,0.822
0.186,0.029,0.785
0.168,0.032,0.8
0.088,0.099,0.813
0.131,0.169,0.7
0.19,0.036,0.774
0.189,0.163,0.648
0.149,0.044,0.807
0.053,0.092,0.855
0.039,0.063,0.898
0.143,0.041,0.816
0.049,0.066,0.885
0.183,0.145,0.672
0.055,0.193,0.752
0.12,0.131,0.749
0.18,0.152,0.668
0.022,0.103,0.875
0.082,0.014,0.904
0.066,0.145,0.789
0.119,0.19,0.691
0.206,0.196,0.598
0.147,0.21,0.643
0.109,0.095,0.796
0.211,0.206,0.583
0.165,0.066,0.769
0.153,0.122,0.725
0.202,0.212,0.586
0.149,0.036,0.815
0.155,0.105,0.74
0.013,0.156,0.831
0.17,0.184,0.646
0.076,0.207,0.717
0.08,0.172,0.748
0.041,0.055,0.904
0.127,0.04,0.833
0.166,0.077,0.757
0.115,0.053,0.832
0.185,0.081,0.734
0.126,0.2,0.674
0.153,0.14,0.707
0.067,0.17,0.763
0.123,0.21,0.667
0.149,0.063,0.788
0.047,0.055,0.898
0.107,0.051,0.842
0.21,0.139,0.651
0.037,0.117,0.846
0.125,0.138,0.737
0.106,0.143,0.751
0.087,0.066,0.847
0.012,0.12,0.868
0.032,0.044,0.924
0.135,0.062,0.803
0.041,0.106,0.853
0.145,0.05,0.805
0.076,0.194,0.73
0.19,0.205,0.605
0.186,0.1,0.714
0.152,0.112,0.736
0.142,0.122,0.736
0.057,0.042,0.901
0.191,0.087,0.722
0.177,0.021,0.802
0.025,0.032,0.943
0.163,0.103,0.734
0.041,0.171,0.788
0.044,0.025,0.931
0.069,0.175,0.756
0.019,0.012,0.969
0.159,0.131,0.71
0.064,0.108,0.828
0.124,0.065,0.811
0.136,0.158,0.706
0.202,0.038,0.76
0.195,0.15,0.655
0.031,0.097,0.872
0.028,0.09,0.882
0.163,0.027,0.81
0.153,0.101,0.746
0.101,0.125,0.774
0.119,0.106,0.775
0.212,0.039,0.749
0.072,0.098,0.83
0.149,0.15,0.701
0.044,0.089,0.867
0.212,0.137,0.651
0.148,0.173,0.679
0.144,0.148,0.708
0.177,0.054,0.769
0.188,0.137,0.675
0.072,0.128,0.8
0.07,0.149,0.781
0.152,0.035,0.813
0.209,0.162,0.629
0.073,0.113,0.814
0.147,0.168,0.685
0.09,0.032,0.878
0.027,0.056,0.917
0.069,0.069,0.862
0.049,0.073,0.878
0.134,0.199,0.667
0.124,0.178,0.698
0.063,0.134,0.803
0.075,0.038,0.887
0.208,0.039,0.753
0.04,0.085,0.875
0.136,0.126,0.738
0.045,0.031,0.924
0.085,0.151,0.764
0.087,0.039,0.874
0.185,0.128,0.687
0.144,0.067,0.789
0.011,0.041,0.948
0.092,0.031,0.877
0.125,0.134,0.741
0.05,0.089,0.861
0.029,0.077,0.894
0.033,0.083,0.884
0.181,0.091,0.728
0.092,0.202,0.706
0.038,0.044,0.918
0.141,0.16,0.699
0.033,0.112,0.855
0.063,0.029,0.908
0.163,0.085,0.752
0.144,0.147,0.709
0.156,0.036,0.808
0.164,0.182,0.654
0.042,0.061,0.897
0.029,0.215,0.756
0.062,0.101,0.837
0.105,0.094,0.801
0.081,0.179,0.74
0.211,0.191,0.598
0.215,0.149,0.636
0.196,0.178,0.626
0.074,0.145,0.781
0.167,0.064,0.769
0.055,0.012,0.933
0.024,0.094,0.882
0.068,0.041,0.891
0.18,0.129,0.691
0.085,0.07,0.845
0.137,0.051,0.812
0.136,0.123,0.741
0.016,0.032,0.952
0.064,0.154,0.782
0.152,0.202,0.646
0.148,0.17,0.682
0.014,0.082,0.904
0.054,0.047,0.899
0.194,0.028,0.778
0.174,0.074,0.752
0.024,0.033,0.943
0.068,0.104,0.828
0.1,0.102,0.798
0.162,0.201,0.637
0.159,0.116,0.725
0.079,0.094,0.827
0.113,0.086,0.801
0.135,0.075,0.79
0.059,0.025,0.916
0.201,0.142,0.657
0.046,0.107,0.847
0.071,0.18,0.749
0.105,0.146,0.749
0.097,0.137,0.766
0.174,0.025,0.801
0.064,0.136,0.8
0.16,0.072,0.768
0.087,0.21,0.703
0.054,0.083,0.863
0.129,0.06,0.811
0.168,0.217,0.615
0.184,0.089,0.727
0.015,0.031,0.954
0.151,0.214,0.635
0.031,0.094,0.875
0.182,0.056,0.762
0.07,0.028,0.902
0.027,0.122,0.851
0.096,0.047,0.857
0.092,0.158,0.75
0.201,0.201,0.598
0.049,0.043,0.908
0.062,0.107,0.831
0.178,0.022,0.8
0.036,0.03,0.934
0.163,0.181,0.656
0.018,0.067,0.915
0.194,0.192,0.614
0.152,0.073,0.775
0.203,0.092,0.705
0.177,0.219,0.604
0.127,0.011,0.862
0.187,0.152,0.661
0.12,0.154,0.726
0.16,0.11,0.73
0.152,0.145,0.703
0.113,0.136,0.751
0.167,0.119,0.714
0.17,0.04,0.79
0.104,0.184,0.712
0.191,0.204,0.605
0.043,0.201,0.756
0.039,0.183,0.778
0.068,0.085,0.847
0.144,0.11,0.746
0.202,0.175,0.623
0.068,0.055,0.877
0.096,0.163,0.741
0.042,0.142,0.816
0.128,0.137,0.735
0.145,0.209,0.646
0.197,0.144,0.659
0.193,0.174,0.633
0.042,0.136,0.822
0.183,0.209,0.608
0.105,0.19,0.705
0.165,0.039,0.796
0.147,0.163,0.69
0.081,0.159,0.76
0.077,0.167,0.756
0.065,0.033,0.902
0.136,0.116,0.748
0.18,0.206,0.614
0.082,0.2,0.718
0.092,0.075,0.833
0.074,0.186,0.74
0.032,0.21,0.758
0.021,0.204,0.775
0.164,0.119,0.717
0.186,0.181,0.633
0.102,0.192,0.706
0.025,0.151,0.824
0.22,0.027,0.753
0.127,0.068,0.805
0.043,0.074,0.883
0.017,0.07,0.913
0.099,0.207,0.694
0.067,0.204,0.729
0.128,0.119,0.753
0.159,0.188,0.653
0.123,0.105,0.772
0.072,0.096,0.832
0.102,0.171,0.727
0.038,0.148,0.814
0.123,0.134,0.743
0.103,0.182,0.715
0.172,0.063,0.765
0.183,0.137,0.68
0.063,0.076,0.861
0.027,0.15,0.823
0.175,0.097,0.728
0.11,0.167,0.723
0.098,0.137,0.765
0.107,0.141,0.752
0.041,0.119,0.84
0.053,0.083,0.864
0.014,0.155,0.831
0.058,0.203,0.739
0.06,0.038,0.902
0.03,0.163,0.807
0.086,0.156,0.758
0.026,0.088,0.886
0.161,0.131,0.708
0.12,0.178,0.702
0.162,0.013,0.825
0.04,0.027,0.933
0.012,0.059,0.929
0.153,0.032,0.815
0.114,0.123,0.763
0.12,0.125,0.755
0.172,0.03,0.798
0.081,0.089,0.83
0.091,0.15,0.759
0.087,0.142,0.771
0.187,0.126,0.687
0.089,0.045,0.866
0.15,0.209,0.641
0.128,0.122,0.75
0.048,0.204,0.748
0.025,0.087,0.888
0.148,0.162,0.69
0.08,0.211,0.709
0.137,0.153,0.71
0.056,0.161,0.783
0.046,0.182,0.772
0.18,0.035,0.785
0.185,0.193,0.622
0.064,0.098,0.838
0.072,0.152,0.776
0.197,0.09,0.713
0.041,0.205,0.754
0.207,0.072,0.721
0.07,0.013,0.917
0.2,0.025,0.775
0.039,0.164,0.797
0.184,0.147,0.669
0.177,0.207,0.616
0.195,0.025,0.78
0.193,0.185,0.622
0.021,0.208,0.771
0.032,0.174,0.794
0.202,0.051,0.747
0.184,0.038,0.778
0.046,0.05,0.904
0.09,0.147,0.763
0.117,0.06,0.823
0.051,0.066,0.883
0.182,0.041,0.777
0.064,0.126,0.81
0.172,0.177,0.651
0.118,0.029,0.853
0.122,0.118,0.76
0.097,0.054,0.849
0.183,0.217,0.6
0.061,0.025,0.914
0.179,0.183,0.638
0.156,0.199,0.645
0.107,0.087,0.806
0.089,0.115,0.796
0.113,0.112,0.775
0.111,0.086,0.803
0.096,0.109,0.795
0.078,0.058,0.864
0.198,0.101,0.701
0.074,0.208,0.718
0.149,0.016,0.835
0.209,0.097,0.694
0.185,0.094,0.721
0.09,0.138,0.772
0.076,0.038,0.886
0.035,0.205,0.76
0.145,0.098,0.757
0.094,0.05,0.856
0.142,0.04,0.818
0.171,0.033,0.796
0.209,0.176,0.615
0.187,0.035,0.778
0.073,0.019,0.908
0.064,0.151,0.785
0.202,0.104,0.694
0.21,0.192,0.598
0.077,0.1,0.823
0.07,0.169,0.761
0.033,0.121,0.846
0.19,0.139,0.671
0.051,0.014,0.935
0.099,0.166,0.735
0.042,0.037,0.921
0.199,0.107,0.694
0.014,0.109,0.877
0.08,0.21,0.71
0.139,0.193,0.668
0.035,0.184,0.781
0.182,0.087,0.731
0.075,0.151,0.774
0.105,0.109,0.786
0.058,0.163,0.779
0.056,0.206,0.738
0.155,0.22,0.625
0.207,0.043,0.75
0.194,0.202,0.604
0.111,0.183,0.706
0.079,0.159,0.762
0.093,0.212,0.695
0.074,0.141,0.785
0.126,0.197,0.677
0.127,0.196,0.677
0.128,0.102,0.77
0.097,0.175,0.728
0.084,0.052,0.864
0.084,0.122,0.794
0.143,0.074,0.783
0.126,0.146,0.728
0.055,0.054,0.891
0.056,0.084,0.86
0.032,0.17,0.798
0.057,0.051,0.892
0.016,0.083,0.901
0.145,0.069,0.786
0.195,0.015,0.79
0.045,0.103,0.852
0.118,0.046,0.836
0.214,0.088,0.698
0.089,0.082,0.829
0.063,0.097,0.84
0.196,0.197,0.607
0.064,0.031,0.905
0.103,0.073,0.824
0.081,0.15,0.769
0.084,0.095,0.821
